J034132-362233,    55.38437,   -36.37592,   238.23364,   -52.99033,    850.58,     26.70,      8.00,      0.32,    0.0094,    0.0005,        1,     74.8434,      1.0924,     57.70,        1,     17.00,       -1,    494.69,     12.53,      7.95,      1.92,    0.0161,    0.0039,        1,     35.9275,      6.3436,     -1.09,      0.06,      1.71,      0.42,     -1.10,     10.49,     23.63,      3.91,     24.73,     11.20,      8.65,       38,            ,     14.62,      0.03,     39.20,     14.28,      0.04,     29.40,     12.64,      0.28,      3.80
J041610-340303,    64.04204,   -34.05083,   234.98431,   -45.85219,    885.81,     25.40,     15.94,      0.32,    0.0180,    0.0006,        1,     -2.2834,      0.5212,     19.80,       -1,     15.00,       -1,    486.93,     13.28,     19.76,      1.86,    0.0406,    0.0040,        1,    -17.4901,      2.7465,     -1.21,      0.06,      2.26,      0.23,      3.20,      4.76,      9.23,      1.70,      6.03,      5.05,     15.95,       28,            ,     15.17,      0.04,     30.90,     14.43,      0.05,     23.40,     11.85,      0.21,      5.10
J040658-382628,    61.74575,   -38.44117,   241.28708,   -47.89003,    865.87,     30.30,      7.94,      0.31,    0.0092,    0.0005,        1,     38.2353,      1.0490,     15.10,        1,     15.00,       -1,   1555.57,     10.13,     52.89,      1.64,    0.0340,    0.0011,        1,     31.2647,      0.8763,      1.18,      0.05,      3.71,      0.23,      2.60,      8.54,      4.23,      0.83,      1.63,      8.58,     18.20,       17,      1.2850,     13.45,      0.02,     46.00,     12.27,      0.02,     49.70,      9.71,      0.04,     28.50
J041122-351301,    62.84179,   -35.21708,   236.55811,   -46.92792,    950.41,     31.00,     32.25,      0.31,    0.0339,    0.0012,        1,    -89.2718,      0.2753,     21.00,        1,     17.00,       -1,    666.49,     10.35,     24.52,      1.75,    0.0368,    0.0027,        1,     52.6541,      2.0286,     -0.71,      0.05,      1.08,      0.09,     25.30,      2.20,     23.12,      1.24,     -2.18,      2.52,     11.90,       27,            ,     15.38,      0.04,     30.70,     14.80,      0.05,     21.20,     12.16,      0.26,      4.20
J042254-331507,    65.72654,   -33.25203,   234.07300,   -44.37210,    960.44,     28.50,     18.73,      0.32,    0.0195,    0.0007,        1,     40.5002,      0.4894,     19.60,       -1,     17.00,       -1,    639.06,      9.33,     21.46,      1.75,    0.0336,    0.0028,        1,    -31.9377,      2.2459,     -0.82,      0.05,      1.72,      0.15,     53.40,      3.54,     43.98,      1.40,     -9.42,      3.80,     15.30,       33,            ,     15.64,      0.04,     27.30,     14.87,      0.05,     19.80,     12.29,      0.28,      3.90
J040353-360501,    60.97413,   -36.08381,   237.74286,   -48.48317,   1150.70,     34.50,      3.94,      0.29,    0.0034,    0.0003,        1,    -26.3618,      2.1732,     19.10,       -1,     17.00,       -1,    850.24,      9.47,      5.64,      1.64,    0.0066,    0.0019,        1,     60.1317,      7.9255,     -0.61,      0.05,      1.94,      0.58,          ,          ,          ,          ,          ,          ,          ,         ,            ,     11.96,      0.02,     47.50,     10.76,      0.02,     51.70,      7.02,      0.02,     68.20
J041947-395003,    64.94583,   -39.83436,   243.29724,   -45.40062,   1161.92,     34.80,     44.08,      0.32,    0.0379,    0.0012,        1,    -10.3008,      0.2137,     18.10,       -1,     16.00,       -1,    780.39,     10.94,     28.67,      1.61,    0.0367,    0.0021,        1,    -34.3308,      1.5213,     -0.80,      0.05,      0.97,      0.06,     20.70,      2.07,     14.59,      0.93,     -6.11,      2.27,     27.20,       17,            ,     15.23,      0.03,     33.60,     14.63,      0.05,     23.30,     12.10,      0.25,      4.40
J042346-340241,    65.94533,   -34.04486,   235.20329,   -44.28280,   1419.64,     41.90,     28.21,      0.30,    0.0199,    0.0006,        1,     49.8981,      0.3046,     34.10,        1,     13.00,       -1,    888.80,     10.36,     23.32,      1.89,    0.0262,    0.0021,        1,     20.9918,      2.3066,     -0.94,      0.05,      1.32,      0.12,     27.50,      3.29,     17.55,      1.41,     -9.95,      3.58,     21.80,       31,            ,     13.82,      0.10,     10.50,     13.23,      0.04,     25.40,     10.63,      0.14,      8.10
J035946-370025,    59.94450,   -37.00719,   239.13043,   -49.32281,   1544.40,     48.10,     84.11,      0.32,    0.0545,    0.0017,        1,    -58.5125,      0.1090,     67.90,        1,     17.00,       -1,    869.19,     11.71,     52.48,      1.65,    0.0604,    0.0021,        1,     77.5324,      0.8877,     -1.16,      0.05,      1.11,      0.05,     22.30,      1.59,     26.69,      0.54,      4.39,      1.68,      5.20,       17,            ,     14.76,      0.04,     29.30,     13.50,      0.03,     36.50,      9.19,      0.03,     38.30
J034205-370320,    55.52250,   -37.05581,   239.35226,   -52.85019,   2065.08,     72.50,    104.80,      0.31,    0.0507,    0.0018,        1,     47.0958,      0.0902,     15.20,        1,     17.00,       -1,   1309.22,     11.36,     73.19,      1.71,    0.0559,    0.0014,        1,     31.5862,      0.6606,     -0.92,      0.05,      1.10,      0.05,     10.50,      0.98,      9.42,      0.40,     -1.08,      1.06,      5.00,       34,      0.2840,     13.29,      0.03,     44.20,     12.24,      0.02,     49.70,      9.71,      0.03,     33.40
J042940-363056,    67.41758,   -36.51556,   238.77029,   -43.32241,   2129.77,     73.60,     23.98,      0.33,    0.0113,    0.0004,        1,     36.8025,      0.3942,     20.30,        1,     19.00,       -1,   1150.12,     14.19,     39.13,      1.80,    0.0340,    0.0016,        1,    -43.7784,      1.1922,     -1.24,      0.05,      3.02,      0.18,    129.50,      5.25,    158.22,      0.76,     28.72,      5.30,     23.00,       29,            ,     14.58,      0.03,     37.30,     13.52,      0.03,     37.40,     10.95,      0.10,     10.90
J053417-374724,    83.57271,   -37.79019,   242.68294,   -30.77836,    736.05,     22.10,     24.39,      0.26,    0.0331,    0.0011,        1,    -61.4085,      0.2971,     19.30,       -1,     16.00,       -1,    490.57,     10.75,     15.45,      1.59,    0.0315,    0.0033,        1,    -68.9995,      2.8930,     -0.82,      0.05,      0.95,      0.10,      1.90,      2.68,      4.61,      1.77,      2.71,      3.21,     35.80,       30,      1.6680,     15.26,      0.03,     31.60,     14.12,      0.04,     29.10,     10.98,      0.09,     11.50
J053115-303213,    82.81488,   -30.53717,   234.36234,   -29.63142,    819.76,     23.10,      9.03,      0.31,    0.0110,    0.0005,        1,     62.2934,      1.0164,     17.80,       -1,     15.00,       -1,    515.20,     12.26,      7.69,      1.68,    0.0149,    0.0033,        1,     -7.3533,      5.8641,     -0.94,      0.05,      1.36,      0.30,     38.50,      8.17,     42.29,      3.61,      3.79,      8.94,     24.00,       28,            ,     16.37,      0.06,     16.90,     15.49,      0.09,     11.40,     12.07,          ,      1.50
J053948-341232,    84.95196,   -34.20894,   238.96735,   -28.85993,   1012.59,     30.60,     84.84,      0.29,    0.0838,    0.0025,        1,     26.6110,      0.0979,     29.00,        1,     16.00,       -1,    509.37,     12.28,     45.60,      1.70,    0.0895,    0.0040,        1,    -54.6424,      1.0401,     -1.38,      0.05,      1.07,      0.06,     44.80,      1.34,     49.33,      0.63,      4.53,      1.48,     42.05,       34,            ,          ,          ,          ,          ,          ,          ,          ,          ,          
J051101-331559,    77.75813,   -33.26656,   236.25523,   -34.45813,    999.11,     34.60,     31.23,      0.29,    0.0313,    0.0011,        1,      9.0173,      0.2826,     20.90,        1,     17.00,       -1,    559.36,     15.68,     10.72,      1.79,    0.0192,    0.0032,        1,     15.4321,      4.4194,     -1.17,      0.06,      0.61,      0.11,     -0.80,      2.68,     -3.89,      2.69,     -3.09,      3.80,      3.50,       32,            ,          ,          ,          ,          ,          ,          ,          ,          ,          
J052333-325122,    80.88813,   -32.85633,   236.48190,   -31.80994,   1107.47,     34.30,     26.12,      0.31,    0.0236,    0.0008,        1,    -86.5925,      0.3291,     52.50,        1,     18.00,       -1,    709.08,     10.93,     27.85,      1.61,    0.0393,    0.0023,        1,     62.7879,      1.6773,     -0.90,      0.05,      1.67,      0.11,     17.90,      3.90,     18.59,      1.04,      0.69,      4.04,     16.55,       28,            ,     13.55,      0.03,     43.60,     13.28,      0.03,     39.50,     12.09,      0.25,      4.30
J050756-384237,    76.98579,   -38.71050,   242.68398,   -36.03115,   1267.49,     44.60,      8.45,      0.33,    0.0067,    0.0004,        1,     24.0341,      1.1370,     15.30,        1,     17.00,       -1,    901.72,     11.90,      4.95,      1.84,    0.0056,    0.0020,       -1,            ,            ,     -0.69,      0.05,      0.84,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,            ,     16.68,      0.05,     19.60,     15.77,      0.08,     14.30,     11.40,      0.10,     11.10
J064814-304419,   102.05879,   -30.73867,   240.53828,   -14.10816,    898.18,     26.90,      1.04,      0.30,    0.0012,    0.0003,       -1,            ,            ,     16.10,       -1,     15.00,       -1,    661.50,     12.49,     10.79,      2.11,    0.0163,    0.0032,        1,    -53.1060,      6.0579,     -0.62,      0.05,     13.59,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,            ,     15.16,      0.03,     31.80,     13.97,      0.04,     30.00,     11.23,      0.12,      8.70
J064117-355429,   100.32396,   -35.90819,   244.93228,   -17.41667,    927.44,     32.70,      9.31,      0.30,    0.0100,    0.0005,        1,    -52.2716,      0.9511,     15.10,        1,     18.00,       -1,    619.84,     14.28,      2.76,      2.33,    0.0098,    0.0038,       -1,            ,            ,     -0.81,      0.06,      0.98,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,            ,          ,          ,          ,          ,          ,          ,          ,          ,          
J055049-314426,    87.70700,   -31.74058,   237.01117,   -25.95855,   1038.40,     36.00,    163.72,      0.31,    0.1577,    0.0055,        1,     45.5985,      0.0612,     19.50,        1,     15.00,       -1,    755.00,     14.09,    156.61,      1.80,    0.2074,    0.0045,        1,    -44.3908,      0.3183,     -0.64,      0.06,      1.32,      0.05,     63.30,      0.61,     54.64,      0.20,     -8.66,      0.64,     42.65,       38,      0.0400,     11.43,      0.02,     47.30,     11.46,      0.02,     52.30,     10.68,      0.08,     14.10
J055615-322307,    89.06442,   -32.38528,   238.07216,   -25.05192,   1195.44,     38.90,     42.62,      0.31,    0.0357,    0.0012,        1,     82.5564,      0.2336,     34.10,        1,     18.00,       -1,    575.11,     14.22,     24.91,      1.86,    0.0433,    0.0034,        1,     31.4147,      2.1163,     -1.47,      0.06,      1.21,      0.10,     35.90,      1.95,     31.05,      1.29,     -4.85,      2.34,     57.20,       39,            ,     16.14,      0.05,     20.00,     14.95,      0.06,     17.80,     10.38,      0.06,     19.30
J060202-381909,    90.51238,   -38.31939,   244.73914,   -25.59711,   1176.94,     40.60,     22.32,      0.33,    0.0190,    0.0007,        1,     36.3061,      0.4236,     21.60,        1,     19.00,       -1,    689.94,     11.45,     39.00,      1.59,    0.0565,    0.0025,        1,     -2.9999,      1.2977,     -1.08,      0.05,      2.98,      0.17,     23.90,      3.78,     23.87,      0.83,     -0.03,      3.87,     25.20,       27,            ,     13.17,      0.02,     45.00,     11.99,      0.02,     49.60,      9.31,      0.03,     35.30
J060554-351807,    91.47529,   -35.30214,   241.78815,   -24.00873,   1351.51,     40.10,      1.48,      0.34,    0.0012,    0.0003,       -1,    -64.5652,      6.3288,     18.60,       -1,     16.00,       -1,    965.36,     13.42,      6.70,      1.81,    0.0069,    0.0019,        1,    -18.9738,      7.3638,     -0.68,      0.05,      5.78,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,            ,     12.90,      0.02,     45.00,     12.71,      0.02,     44.90,     12.40,      0.34,      3.20
J061732-363414,    94.38471,   -36.57061,   243.87897,   -22.14916,   2075.38,     62.10,      2.62,      0.32,    0.0013,    0.0002,        1,     27.5839,      3.4327,     19.10,       -1,     17.00,       -1,   1316.37,     12.43,     12.27,      1.75,    0.0093,    0.0013,        1,      0.7166,      3.9526,     -0.92,      0.04,      7.38,      1.41,          ,          ,          ,          ,          ,          ,          ,         ,            ,          ,          ,          ,          ,          ,          ,          ,          ,          
J060414-315556,    91.06096,   -31.93239,   238.17072,   -23.30442,   2964.31,    104.30,     28.65,      0.34,    0.0097,    0.0004,        1,     10.0018,      0.3312,     14.80,        1,     17.00,       -1,   1700.48,     12.91,     15.36,      1.85,    0.0090,    0.0011,        1,    -68.9430,      3.4223,     -1.12,      0.05,      0.93,      0.12,     74.70,      3.17,     47.93,      2.09,    -26.77,      3.80,     71.90,       41,      0.4520,     13.78,      0.03,     42.40,     12.95,      0.03,     42.20,      9.88,      0.04,     29.20
